c__unidentified,c__Limnochordia,c__Verrucomicrobiae,c__Melainabacteria,c__Deltaproteobacteria,c__Alphaproteobacteria,c__Clostridia,c__Sphingobacteriia,c__Betaproteobacteria,c__Gammaproteobacteria,c__Negativicutes,c__Mollicutes,c__Flavobacteriia,c__Synergistia,c__Bacteroidia,c__Actinobacteria,c__Chlamydiae,c__Anaerolineae,c__Unknown_Class,c__Spirochaetes,c__Coriobacteriia,c__Bacilli,c__Bacteroidetes_vadinHA17,c__Erysipelotrichia,c__Chloroplast,c__Epsilonproteobacteria,c__Cytophagia,c__Deferribacteres
0.000192597,0,0,0.007395709,0.00789646,0.018797427,0.284657756,0,0.012634336,0.014521783,0,0.003697854,0,0,0.561419052,3.85E-05,0,3.85E-05,0.00053927,0,0.000924464,0.02707908,0,0.020684873,3.85E-05,0.038557837,0,0.000885944
0,0,0,0.000115558,0.001425215,0.00115558,0.121374369,0,0.010053542,0.000269635,0,0.008897962,0,0,0.485574516,0.000654828,0,0,0.002542275,0,0.008666846,0.239744232,0,0.109279304,3.85E-05,0.010092061,0,0.000115558
0.000192597,0,0,0.000462232,0.026424252,0.001848927,0.411617426,0,0.007049035,3.85E-05,0,0.005161589,0,0,0.347213127,0.000654828,0,0,0.002157082,0,0.013943993,0.030430261,0,0.14783714,0,0.003351181,0,0.001617811
7.70E-05,0,0,0.000308155,0.004352683,0.000770386,0.161280382,0,0.001887447,0,0,0.004275644,0,0,0.308732329,0.000693348,0,0,0.001271137,0,0.029274681,0.435537922,0,0.014906976,3.85E-05,0.036439274,0,0.000154077
0.000808906,0,7.70E-05,0,0.054658911,0.004314164,0.625014445,0,0,0.000115558,0,0.018335195,0,0,0.255614191,0,0,0,0.003274142,0,0.001463734,0.007472748,0,0.001656331,0,0.023034552,0,0.004160086
0.000115558,0,0,0.006894958,0.01182543,0.007472748,0.19413736,0,0.012480259,0.000231116,0,0.007087554,0,0,0.597010901,0.000500751,0,0,0.001078541,0,0.004391202,0.06713917,0,0.073109664,0.000115558,0.015908478,0,0.000500751
7.70E-05,0,0,0.001040022,0.014329186,0.001502253,0.309387158,0,0.005546782,0.000269635,0,0.004352683,3.85E-05,0,0.620469165,7.70E-05,0,0,0.000808906,0,0.005007511,0.006625323,3.85E-05,0.009129078,7.70E-05,0.01918262,3.85E-05,0.002003005
0.00057779,0,0.054119641,0,0.08975001,0.000231116,0.625245561,0,3.85E-05,0.000115558,0,0.006278649,0,0,0.04683949,0.000231116,0,0,0.001733369,0,0.006702361,0.162204846,0,0.002118562,3.85E-05,0.002580794,0,0.001194099
3.85E-05,0,0,3.85E-05,0.03046878,0.000192597,0.491352413,0,0,0.000693348,0,0.012249143,0.000154077,0,0.08520473,0.000616309,0,0,0.054004083,0,0.011401718,0.288047456,0,0.02480644,7.70E-05,0.000423712,0,0.000231116
0.000462232,0,0.035206656,0.000346674,0.144909672,0.000115558,0.616155002,0,7.70E-05,7.70E-05,0,0.005354185,0,0,0.044412773,0.001656331,0,0,0.001579292,0,0.0033897,0.102923616,0,0.001925966,7.70E-05,0.037941528,0,0.0033897
0.000500751,0,0,0,0.067293248,0.000269635,0.674627326,0,0,7.70E-05,0,0.004121567,0,0,0.124301837,0.000154077,0,0,0.013943993,0,0.005585301,0.08859443,0,0.002080043,0,0.016178113,0,0.00227264
0.000346674,0,0,0,0.048380263,0.000770386,0.489156812,0,3.85E-05,0.000154077,0,0.004814915,3.85E-05,0,0.180655599,0.000154077,0,0,0.004814915,0,0.00789646,0.234544124,0,0.005777898,0,0.020993028,0,0.001463734
